cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950,spec
AGO,ESA,Southern,0,10,FALSE,MC coverage,139.3027771094515,2.4966413865164476,0.03039279682771887,0.04172728028113014,0.7291666666666666,0.8611111111111112,0.9513888888888888,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = FALSE"
AGO,ESA,Southern,0,10,FALSE,MMC coverage,64.81881344763448,11.651628026135464,0.14181873017195412,0.16632491903060706,0.4375,0.6736111111111112,0.8263888888888888,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = FALSE"
AGO,ESA,Southern,0,10,FALSE,TMC coverage,74.48396366181703,11.132102427816374,0.13920117887753325,0.16385524386362113,0.4930555555555556,0.6805555555555556,0.8541666666666666,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = FALSE"
AGO,ESA,Southern,0,10,TRUE,MC coverage,120.14411318358144,19.95322132919635,0.16133551857353243,0.17447072378970874,0.5208333333333334,0.6180555555555556,0.6875,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = TRUE"
AGO,ESA,Southern,0,10,TRUE,MMC coverage,55.96421220030529,29.681765398472,0.26533098260049437,0.28594064504182387,0.16666666666666666,0.3125,0.4930555555555556,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = TRUE"
AGO,ESA,Southern,0,10,TRUE,TMC coverage,64.17990098327616,29.8565499573856,0.2670290825693844,0.28729814130366954,0.14583333333333334,0.3263888888888889,0.4722222222222222,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = TRUE"
AGO,ESA,Southern,0,Inf,FALSE,MC coverage,139.54824718658617,2.5914778222200456,0.03064079141189147,0.04181434003602433,0.6875,0.8611111111111112,0.9375,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
AGO,ESA,Southern,0,Inf,FALSE,MMC coverage,65.04871586702109,11.452206648286449,0.14234474585192292,0.16767289707606453,0.4583333333333333,0.6736111111111112,0.8402777777777778,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
AGO,ESA,Southern,0,Inf,FALSE,TMC coverage,74.49953131956508,10.865262085370784,0.13884807305579236,0.1641880962571513,0.5,0.7291666666666666,0.8611111111111112,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
AGO,ESA,Southern,0,Inf,TRUE,MC coverage,117.1831396801333,21.142439062866927,0.1762876012277605,0.1927088535863493,0.4166666666666667,0.6111111111111112,0.7083333333333334,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
AGO,ESA,Southern,0,Inf,TRUE,MMC coverage,46.591850969113906,29.779292831517907,0.268372766817523,0.2901649762576383,0.1875,0.3402777777777778,0.5347222222222222,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
AGO,ESA,Southern,0,Inf,TRUE,TMC coverage,70.59128871101939,29.845573156816183,0.2691318487092583,0.2903326659916747,0.1597222222222222,0.3263888888888889,0.5,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
AGO,ESA,Southern,1,10,FALSE,MC coverage,139.3451803735844,2.520955352521049,0.03052823678165539,0.04184693775304047,0.7152777777777778,0.8680555555555556,0.9513888888888888,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = FALSE"
AGO,ESA,Southern,1,10,FALSE,MMC coverage,64.96498391444922,11.694043286107233,0.1420039278944449,0.16651557789011626,0.4236111111111111,0.6527777777777778,0.8194444444444444,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = FALSE"
AGO,ESA,Southern,1,10,FALSE,TMC coverage,74.38019645913518,11.144110677078434,0.1391867618127163,0.16393145349844618,0.4652777777777778,0.6875,0.8402777777777778,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = FALSE"
AGO,ESA,Southern,1,10,TRUE,MC coverage,118.10937675880196,19.23423566679673,0.1699995452725454,0.19171757302958456,0.5763888888888888,0.6805555555555556,0.7569444444444444,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
AGO,ESA,Southern,1,10,TRUE,MMC coverage,54.8287971505972,27.114005180996234,0.28112228118105953,0.31602414775666315,0.2777777777777778,0.5208333333333334,0.6875,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
AGO,ESA,Southern,1,10,TRUE,TMC coverage,63.28057960820477,25.640009092430702,0.2844741820198237,0.3236064712107027,0.3680555555555556,0.6041666666666666,0.7083333333333334,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
AGO,ESA,Southern,1,Inf,FALSE,MC coverage,139.5490086933001,2.581540686669576,0.03073055144349792,0.0420763528221464,0.6944444444444444,0.8680555555555556,0.9513888888888888,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
AGO,ESA,Southern,1,Inf,FALSE,MMC coverage,64.8165930103455,11.3989920125869,0.1420439638208461,0.16749986949340545,0.4791666666666667,0.6805555555555556,0.8472222222222222,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
AGO,ESA,Southern,1,Inf,FALSE,TMC coverage,74.7324156829546,10.840852660478784,0.1387768207110519,0.1642035228625933,0.5069444444444444,0.7083333333333334,0.8611111111111112,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
