cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950
AGO,ESA,Southern,0,10,FALSE,MC coverage,139.3027771094515,2.4966413865164476,0.03039279682771887,0.04172728028113014,0.7291666666666666,0.8611111111111112,0.9513888888888888
AGO,ESA,Southern,0,10,FALSE,MMC coverage,64.81881344763448,11.651628026135464,0.14181873017195412,0.16632491903060706,0.4375,0.6736111111111112,0.8263888888888888
AGO,ESA,Southern,0,10,FALSE,TMC coverage,74.48396366181703,11.132102427816374,0.13920117887753325,0.16385524386362113,0.4930555555555556,0.6805555555555556,0.8541666666666666
AGO,ESA,Southern,0,10,TRUE,MC coverage,139.47508063928805,2.598575270290421,0.03055743670013082,0.04153558702938603,0.7013888888888888,0.875,0.9583333333333334
AGO,ESA,Southern,0,10,TRUE,MMC coverage,65.33619796795946,12.427096772953208,0.14739635339464394,0.17189002595706726,0.3680555555555556,0.6527777777777778,0.8125
AGO,ESA,Southern,0,10,TRUE,TMC coverage,74.13888267132857,11.634248615257343,0.14283387260323344,0.16761596744959464,0.4513888888888889,0.6875,0.8402777777777778
AGO,ESA,Southern,0,Inf,FALSE,MC coverage,139.54824718658617,2.5914778222200456,0.03064079141189147,0.04181434003602433,0.6875,0.8611111111111112,0.9375
AGO,ESA,Southern,0,Inf,FALSE,MMC coverage,65.04871586702109,11.452206648286449,0.14234474585192292,0.16767289707606453,0.4583333333333333,0.6736111111111112,0.8402777777777778
AGO,ESA,Southern,0,Inf,FALSE,TMC coverage,74.49953131956508,10.865262085370784,0.13884807305579236,0.1641880962571513,0.5,0.7291666666666666,0.8611111111111112
AGO,ESA,Southern,0,Inf,TRUE,MC coverage,139.504019927954,2.5727689943396523,0.03080938515868109,0.04220236993235213,0.7013888888888888,0.8472222222222222,0.9513888888888888
AGO,ESA,Southern,0,Inf,TRUE,MMC coverage,61.53235556328778,9.161013695936376,0.12500048069472636,0.15014568016037352,0.4513888888888889,0.7638888888888888,0.9236111111111112
AGO,ESA,Southern,0,Inf,TRUE,TMC coverage,77.97166436466621,8.802764953496688,0.12350198584035446,0.14900152302866437,0.5208333333333334,0.7916666666666666,0.9375
AGO,ESA,Southern,1,10,FALSE,MC coverage,139.3451803735844,2.520955352521049,0.03052823678165539,0.04184693775304047,0.7152777777777778,0.8680555555555556,0.9513888888888888
AGO,ESA,Southern,1,10,FALSE,MMC coverage,64.96498391444922,11.694043286107233,0.1420039278944449,0.16651557789011626,0.4236111111111111,0.6527777777777778,0.8194444444444444
AGO,ESA,Southern,1,10,FALSE,TMC coverage,74.38019645913518,11.144110677078434,0.1391867618127163,0.16393145349844618,0.4652777777777778,0.6875,0.8402777777777778
AGO,ESA,Southern,1,10,TRUE,MC coverage,139.507570251477,2.5684895865663484,0.03043491210144565,0.04137072555270326,0.7083333333333334,0.8541666666666666,0.9444444444444444
AGO,ESA,Southern,1,10,TRUE,MMC coverage,63.95305710393864,10.160886282024844,0.13118505247745965,0.15596273007765127,0.4444444444444444,0.75,0.8680555555555556
AGO,ESA,Southern,1,10,TRUE,TMC coverage,75.55451314753839,9.663417434857772,0.12887352490467363,0.15393552933635726,0.5,0.7569444444444444,0.8958333333333334
AGO,ESA,Southern,1,Inf,FALSE,MC coverage,139.5490086933001,2.581540686669576,0.03073055144349792,0.0420763528221464,0.6944444444444444,0.8680555555555556,0.9513888888888888
AGO,ESA,Southern,1,Inf,FALSE,MMC coverage,64.8165930103455,11.3989920125869,0.1420439638208461,0.16749986949340545,0.4791666666666667,0.6805555555555556,0.8472222222222222
AGO,ESA,Southern,1,Inf,FALSE,TMC coverage,74.7324156829546,10.840852660478784,0.1387768207110519,0.1642035228625933,0.5069444444444444,0.7083333333333334,0.8611111111111112
AGO,ESA,Southern,1,Inf,TRUE,MC coverage,139.49464667724973,2.570870978020697,0.03091497968096408,0.04242162701425353,0.6944444444444444,0.8541666666666666,0.9652777777777778
AGO,ESA,Southern,1,Inf,TRUE,MMC coverage,61.332389800659165,8.770666915105263,0.1224896912832226,0.1479938601380724,0.4791666666666667,0.8194444444444444,0.9444444444444444
AGO,ESA,Southern,1,Inf,TRUE,TMC coverage,78.16225687659058,8.432841048809461,0.12112242328654858,0.1468664066911573,0.5069444444444444,0.8333333333333334,0.9513888888888888
AGO,ESA,Southern,2,10,FALSE,MC coverage,139.37942464333452,2.536462077668479,0.03064969440975665,0.04191814170669554,0.7222222222222222,0.8611111111111112,0.9513888888888888
AGO,ESA,Southern,2,10,FALSE,MMC coverage,64.75959988814276,11.659201804507273,0.14179851686589956,0.16632639781446973,0.4444444444444444,0.6736111111111112,0.8263888888888888
AGO,ESA,Southern,2,10,FALSE,TMC coverage,74.61982475519176,11.15586759729026,0.13942262117665372,0.16414694828784646,0.4791666666666667,0.6875,0.8472222222222222
AGO,ESA,Southern,2,10,TRUE,MC coverage,139.48098462109095,2.554883283846452,0.030453266121295,0.0414274332087562,0.7013888888888888,0.8402777777777778,0.9583333333333334
AGO,ESA,Southern,2,10,TRUE,MMC coverage,63.71271489363562,9.992708971251664,0.12988403012690183,0.15473407649446355,0.4513888888888889,0.7569444444444444,0.8888888888888888
AGO,ESA,Southern,2,10,TRUE,TMC coverage,75.76826972745532,9.553058986654287,0.12805602485346224,0.15312749045227586,0.5069444444444444,0.7708333333333334,0.9027777777777778
AGO,ESA,Southern,2,Inf,FALSE,MC coverage,139.57243685976067,2.608875457463964,0.03077534000046467,0.0418584934968003,0.6944444444444444,0.8611111111111112,0.9444444444444444
